Date,Last Name,Bloom Level,Lesson Code,Learning Resource Code,Question,Choice A,Choice B,Choice C,Choice D,Correct Choice,Explanation,Status
2026-08-20,Mayores,Evaluation,2,,"The state space method has listed deficiencies (cannot display all states, resource-limited, time-consuming, doesn't learn from mistakes). Which of these does problem reduction (AND-OR graphs) fail to fix?",The massive and monolithic nature of the state space,The inability to display all states for a large problem,The system's tendency not to learn from past mistakes and repeat them,Time-consuming exhaustive representation,C,,
2026-08-20,Mayores,Synthesis,2,,"Modeling ""pass this semseter"" as an AND-OR graph, which combination correctly represents it?",A single AND branch only where every requirements must be met with no alternative paths at all,"All requirements combined under AND (pass every required course), with OR used only where any one of several interchangeable options satisfies a single requirement (e.g. General Elective, Qualfied Elective)",Only OR branches,AND-OR graphs cannot represent a goal like this,B,,
2026-08-20,Palanas,Knowledge,2,,It illustrates the human brain's ability to process information and the need for AI to fall within its boundaries.,Human limit,Human door,Human window,Human interval,C,,
2026-08-20,Palanas,Understanding,2,,Which of the following best summarizes the concept of proving by deduction?,Reaching a conclusion from some facts that logically flow from one another,Considering every possibility in a search space,Describing a problem in terms of itself,Breaking up a problem and solving it into smaller parts,A,,
2026-08-20,Palanas,Application,2,,Which of the following situations is a good example of a heuristic being applied?,A poker player who counts cards to know the remaining cards in the deck,A statistician calculating the exact value of a population’s parameter using various formulas,A delivery driver using the fastest delivery route to a customer,A student guessing a country by guessing its continent despite not knowing exactly where it is,D,,
2026-08-20,Palanas,Analysis,2,,How does the concept of a knowledge base play its role in the stages of an Expert System’s life cycle?,It collects the input of the user and communicates to the system how to find the answer,It evaluates the reasoning process of the system and  modifies it when errors occur,It creates the backtrack on how an answer was derived,It stores the facts and heuristics of a system that are used to derive conclusions,D,,
2026-08-20,Palanas,Evaluation,2,,"Based on the concept of Expert Systems, how can we say that these systems are sometimes limited in their capacity to give answers?",They fail outside of their domain of expertise,It requires too much computing power to create in-depth answers,The error rates make the answers untrustworthy,Answers from expert systems are not consistent if asked the same question twice,A,,
2026-08-20,Palanas,Synthesis,2,,A Knowledge-Based System needs to explain why it made a decision. Which feature should be added?,Larger database,Explanation facility,Inference engine,More input devices,B,,
2026-08-20,Tomagan,Knowledge,2,,What is the difference between procedural knowledge and declarative knowledge?,Declarative is always faster to execute; procedural is always easier to modify.,Procedural supports inference over the general statements while declarative often expressed as procedures over rules.,Declarative states facts and relationships; procedural encodes how to perform tasks.,Declarative encodes how to perform tasks; procedural states facts and relationships.,C,,
2026-08-20,Tomagan,Understanding,2,,Why do we need to represent knowledge explicitly in a knowledge-based system?,"It makes intelligent behavior easier to inspect, extend, reuse, and explain",Because a problem can only be solved if all its knowledge is made explicit.,Because it's easier for programmers to write than hard-coded procedures.,Because explicit knowledge always makes the system run faster at runtime.,A,,
2026-08-20,Tomagan,Application,2,,"A production system keeps firing the same rule over and over, causing an infinite loop. Which conflict resolution strategy should be applied to stop this?",Refraction,Order,Specificity,Recency,A,,
2026-08-20,Tomagan,Analysis,2,,"A student has a huge assignment and decides to finish it first by completing the research, then the outline, and finally the writing. What problem-solving technique is the student using?",Exhaustive enumeration,Divide and conquer,Deduction,Contradiction,B,,
2026-08-20,Tomagan,Evaluation,2,,"A solution has been tested several times and consistently reaches the goal. However, a simpler solution is available that reaches the same goal. Which conclusion is most reasonable?",The original solution must be used because it was tested first.,Both solutions must have the same efficiency.,The original solution should be rejected as incorrect.,The simpler solution should be considered because it may be more efficient.,D,,
2026-08-20,Tomagan,Synthesis,2,,"Which statement best combines how knowledge, representation, and reasoning work together in a knowledge-based system?","Knowledge is stored as symbols, but reasoning is only used to store more facts, not to derive new ones.",Reasoning replaces the need for any stored knowledge at all.,"Symbols stand for what the system believes, and reasoning manipulates those symbols to produce new beliefs the system never had to be told directly.",Representation and reasoning are separate systems that never interact.,C,,
2026-08-24,Abesia,Knowledge,3,,,,,,,,,
2026-08-24,Abesia,Understanding,3,,,,,,,,,
2026-08-24,Abesia,Application,3,,,,,,,,,
2026-08-24,Abesia,Analysis,3,,,,,,,,,
2026-08-24,Abesia,Evaluation,3,,,,,,,,,
2026-08-24,Abesia,Synthesis,3,,,,,,,,,
2026-08-24,Mayores,Knowledge,3,,,,,,,,,
2026-08-24,Mayores,Understanding,3,,,,,,,,,
2026-08-24,Mayores,Application,3,,,,,,,,,
2026-08-24,Mayores,Analysis,3,,,,,,,,,
2026-08-24,Mayores,Evaluation,3,,,,,,,,,
2026-08-24,Mayores,Synthesis,3,,,,,,,,,
2026-08-24,Palanas,Knowledge,3,,,,,,,,,
2026-08-24,Palanas,Understanding,3,,,,,,,,,
2026-08-24,Palanas,Application,3,,,,,,,,,
2026-08-24,Palanas,Analysis,3,,,,,,,,,
2026-08-24,Palanas,Evaluation,3,,,,,,,,,
2026-08-24,Palanas,Synthesis,3,,,,,,,,,
2026-08-24,Tomagan,Knowledge,3,,What does the letter h stand for in the A* formula f = g+h,The height of the search tree,The value of the root node,The number of moves already made,The estimated cost from the current node to the goal,D,,
2026-08-24,Tomagan,Understanding,3,,What is the difference between forward search and backward search?,Forward search is goal-driven; backward search is data-driven.,Forward search is used when you have a lot of goals; backward search is used when you have lots of rules.,Forward search starts from the initial state and applies rules toward the goal; backward search starts at the goal and finds rules that would produce it.,"Forward search only searches the search space forward, and backward search walks backward.",C,,
2026-08-24,Tomagan,Application,3,,,,,,,,,
2026-08-24,Tomagan,Analysis,3,,,,,,,,,
2026-08-24,Tomagan,Evaluation,3,,,,,,,,,
2026-08-24,Tomagan,Synthesis,3,,,,,,,,,
2026-08-27,Abesia,Knowledge,4,,,,,,,,,
2026-08-27,Abesia,Understanding,4,,,,,,,,,
2026-08-27,Abesia,Application,4,,,,,,,,,
2026-08-27,Abesia,Analysis,4,,,,,,,,,
2026-08-27,Abesia,Evaluation,4,,,,,,,,,
2026-08-27,Abesia,Synthesis,4,,,,,,,,,
2026-08-27,Mayores,Knowledge,4,,,,,,,,,
2026-08-27,Mayores,Understanding,4,,,,,,,,,
2026-08-27,Mayores,Application,4,,,,,,,,,
2026-08-27,Mayores,Analysis,4,,,,,,,,,
2026-08-27,Mayores,Evaluation,4,,,,,,,,,
2026-08-27,Mayores,Synthesis,4,,,,,,,,,
2026-08-27,Palanas,Knowledge,4,,,,,,,,,
2026-08-27,Palanas,Understanding,4,,,,,,,,,
2026-08-27,Palanas,Application,4,,,,,,,,,
2026-08-27,Palanas,Analysis,4,,,,,,,,,
2026-08-27,Palanas,Evaluation,4,,,,,,,,,
2026-08-27,Palanas,Synthesis,4,,,,,,,,,
2026-08-27,Tomagan,Knowledge,4,,,,,,,,,
2026-08-27,Tomagan,Understanding,4,,,,,,,,,
2026-08-27,Tomagan,Application,4,,,,,,,,,
2026-08-27,Tomagan,Analysis,4,,,,,,,,,
2026-08-27,Tomagan,Evaluation,4,,,,,,,,,
2026-08-27,Tomagan,Synthesis,4,,,,,,,,,
2026-08-31,Abesia,Knowledge,5,,,,,,,,,
2026-08-31,Abesia,Understanding,5,,,,,,,,,
2026-08-31,Abesia,Application,5,,,,,,,,,
2026-08-31,Abesia,Analysis,5,,,,,,,,,
2026-08-31,Abesia,Evaluation,5,,,,,,,,,
2026-08-31,Abesia,Synthesis,5,,,,,,,,,
2026-08-31,Mayores,Knowledge,5,,,,,,,,,
2026-08-31,Mayores,Understanding,5,,,,,,,,,
2026-08-31,Mayores,Application,5,,,,,,,,,
2026-08-31,Mayores,Analysis,5,,,,,,,,,
2026-08-31,Mayores,Evaluation,5,,,,,,,,,
2026-08-31,Mayores,Synthesis,5,,,,,,,,,
2026-08-31,Palanas,Knowledge,5,,,,,,,,,
2026-08-31,Palanas,Understanding,5,,,,,,,,,
2026-08-31,Palanas,Application,5,,,,,,,,,
2026-08-31,Palanas,Analysis,5,,,,,,,,,
2026-08-31,Palanas,Evaluation,5,,,,,,,,,
2026-08-31,Palanas,Synthesis,5,,,,,,,,,
2026-08-31,Tomagan,Knowledge,5,,,,,,,,,
2026-08-31,Tomagan,Understanding,5,,,,,,,,,
2026-08-31,Tomagan,Application,5,,,,,,,,,
2026-08-31,Tomagan,Analysis,5,,,,,,,,,
2026-08-31,Tomagan,Evaluation,5,,,,,,,,,
2026-08-31,Tomagan,Synthesis,5,,,,,,,,,
2026-09-03,Abesia,Knowledge,6,,,,,,,,,
2026-09-03,Abesia,Understanding,6,,,,,,,,,
2026-09-03,Abesia,Application,6,,,,,,,,,
2026-09-03,Abesia,Analysis,6,,,,,,,,,
2026-09-03,Abesia,Evaluation,6,,,,,,,,,
2026-09-03,Abesia,Synthesis,6,,,,,,,,,
2026-09-03,Mayores,Knowledge,6,,,,,,,,,
2026-09-03,Mayores,Understanding,6,,,,,,,,,
2026-09-03,Mayores,Application,6,,,,,,,,,
2026-09-03,Mayores,Analysis,6,,,,,,,,,
2026-09-03,Mayores,Evaluation,6,,,,,,,,,
2026-09-03,Mayores,Synthesis,6,,,,,,,,,
2026-09-03,Palanas,Knowledge,6,,,,,,,,,
2026-09-03,Palanas,Understanding,6,,,,,,,,,
2026-09-03,Palanas,Application,6,,,,,,,,,
2026-09-03,Palanas,Analysis,6,,,,,,,,,
2026-09-03,Palanas,Evaluation,6,,,,,,,,,
2026-09-03,Palanas,Synthesis,6,,,,,,,,,
2026-09-03,Tomagan,Knowledge,6,,,,,,,,,
2026-09-03,Tomagan,Understanding,6,,,,,,,,,
2026-09-03,Tomagan,Application,6,,,,,,,,,
2026-09-03,Tomagan,Analysis,6,,,,,,,,,
2026-09-03,Tomagan,Evaluation,6,,,,,,,,,
2026-09-03,Tomagan,Synthesis,6,,,,,,,,,
2026-09-07,Abesia,Knowledge,7,,,,,,,,,
2026-09-07,Abesia,Understanding,7,,,,,,,,,
2026-09-07,Abesia,Application,7,,,,,,,,,
2026-09-07,Abesia,Analysis,7,,,,,,,,,
2026-09-07,Abesia,Evaluation,7,,,,,,,,,
2026-09-07,Abesia,Synthesis,7,,,,,,,,,
2026-09-07,Mayores,Knowledge,7,,,,,,,,,
2026-09-07,Mayores,Understanding,7,,,,,,,,,
2026-09-07,Mayores,Application,7,,,,,,,,,
2026-09-07,Mayores,Analysis,7,,,,,,,,,
2026-09-07,Mayores,Evaluation,7,,,,,,,,,
2026-09-07,Mayores,Synthesis,7,,,,,,,,,
2026-09-07,Palanas,Knowledge,7,,,,,,,,,
2026-09-07,Palanas,Understanding,7,,,,,,,,,
2026-09-07,Palanas,Application,7,,,,,,,,,
2026-09-07,Palanas,Analysis,7,,,,,,,,,
2026-09-07,Palanas,Evaluation,7,,,,,,,,,
2026-09-07,Palanas,Synthesis,7,,,,,,,,,
2026-09-07,Tomagan,Knowledge,7,,,,,,,,,
2026-09-07,Tomagan,Understanding,7,,,,,,,,,
2026-09-07,Tomagan,Application,7,,,,,,,,,
2026-09-07,Tomagan,Analysis,7,,,,,,,,,
2026-09-07,Tomagan,Evaluation,7,,,,,,,,,
2026-09-07,Tomagan,Synthesis,7,,,,,,,,,
2026-09-10,Abesia,Knowledge,8,,,,,,,,,
2026-09-10,Abesia,Understanding,8,,,,,,,,,
2026-09-10,Abesia,Application,8,,,,,,,,,
2026-09-10,Abesia,Analysis,8,,,,,,,,,
2026-09-10,Abesia,Evaluation,8,,,,,,,,,
2026-09-10,Abesia,Synthesis,8,,,,,,,,,
2026-09-10,Mayores,Knowledge,8,,,,,,,,,
2026-09-10,Mayores,Understanding,8,,,,,,,,,
2026-09-10,Mayores,Application,8,,,,,,,,,
2026-09-10,Mayores,Analysis,8,,,,,,,,,
2026-09-10,Mayores,Evaluation,8,,,,,,,,,
2026-09-10,Mayores,Synthesis,8,,,,,,,,,
2026-09-10,Palanas,Knowledge,8,,,,,,,,,
2026-09-10,Palanas,Understanding,8,,,,,,,,,
2026-09-10,Palanas,Application,8,,,,,,,,,
2026-09-10,Palanas,Analysis,8,,,,,,,,,
2026-09-10,Palanas,Evaluation,8,,,,,,,,,
2026-09-10,Palanas,Synthesis,8,,,,,,,,,
2026-09-10,Tomagan,Knowledge,8,,,,,,,,,
2026-09-10,Tomagan,Understanding,8,,,,,,,,,
2026-09-10,Tomagan,Application,8,,,,,,,,,
2026-09-10,Tomagan,Analysis,8,,,,,,,,,
2026-09-10,Tomagan,Evaluation,8,,,,,,,,,
2026-09-10,Tomagan,Synthesis,8,,,,,,,,,
2026-09-14,Abesia,Knowledge,,,,,,,,,,
2026-09-14,Abesia,Understanding,,,,,,,,,,
2026-09-14,Abesia,Application,,,,,,,,,,
2026-09-14,Abesia,Analysis,,,,,,,,,,
2026-09-14,Abesia,Evaluation,,,,,,,,,,
2026-09-14,Abesia,Synthesis,,,,,,,,,,
2026-09-14,Mayores,Knowledge,,,,,,,,,,
2026-09-14,Mayores,Understanding,,,,,,,,,,
2026-09-14,Mayores,Application,,,,,,,,,,
2026-09-14,Mayores,Analysis,,,,,,,,,,
2026-09-14,Mayores,Evaluation,,,,,,,,,,
2026-09-14,Mayores,Synthesis,,,,,,,,,,
2026-09-14,Palanas,Knowledge,,,,,,,,,,
2026-09-14,Palanas,Understanding,,,,,,,,,,
2026-09-14,Palanas,Application,,,,,,,,,,
2026-09-14,Palanas,Analysis,,,,,,,,,,
2026-09-14,Palanas,Evaluation,,,,,,,,,,
2026-09-14,Palanas,Synthesis,,,,,,,,,,
2026-09-14,Tomagan,Knowledge,,,,,,,,,,
2026-09-14,Tomagan,Understanding,,,,,,,,,,
2026-09-14,Tomagan,Application,,,,,,,,,,
2026-09-14,Tomagan,Analysis,,,,,,,,,,
2026-09-14,Tomagan,Evaluation,,,,,,,,,,
2026-09-14,Tomagan,Synthesis,,,,,,,,,,
2026-09-17,Abesia,Knowledge,,,,,,,,,,
2026-09-17,Abesia,Understanding,,,,,,,,,,
2026-09-17,Abesia,Application,,,,,,,,,,
2026-09-17,Abesia,Analysis,,,,,,,,,,
2026-09-17,Abesia,Evaluation,,,,,,,,,,
2026-09-17,Abesia,Synthesis,,,,,,,,,,
2026-09-17,Mayores,Knowledge,,,,,,,,,,
2026-09-17,Mayores,Understanding,,,,,,,,,,
2026-09-17,Mayores,Application,,,,,,,,,,
2026-09-17,Mayores,Analysis,,,,,,,,,,
2026-09-17,Mayores,Evaluation,,,,,,,,,,
2026-09-17,Mayores,Synthesis,,,,,,,,,,
2026-09-17,Palanas,Knowledge,,,,,,,,,,
2026-09-17,Palanas,Understanding,,,,,,,,,,
2026-09-17,Palanas,Application,,,,,,,,,,
2026-09-17,Palanas,Analysis,,,,,,,,,,
2026-09-17,Palanas,Evaluation,,,,,,,,,,
2026-09-17,Palanas,Synthesis,,,,,,,,,,
2026-09-17,Tomagan,Knowledge,,,,,,,,,,
2026-09-17,Tomagan,Understanding,,,,,,,,,,
2026-09-17,Tomagan,Application,,,,,,,,,,
2026-09-17,Tomagan,Analysis,,,,,,,,,,
2026-09-17,Tomagan,Evaluation,,,,,,,,,,
2026-09-17,Tomagan,Synthesis,,,,,,,,,,
2026-09-21,Abesia,Knowledge,,,,,,,,,,
2026-09-21,Abesia,Understanding,,,,,,,,,,
2026-09-21,Abesia,Application,,,,,,,,,,
2026-09-21,Abesia,Analysis,,,,,,,,,,
2026-09-21,Abesia,Evaluation,,,,,,,,,,
2026-09-21,Abesia,Synthesis,,,,,,,,,,
2026-09-21,Mayores,Knowledge,,,,,,,,,,
2026-09-21,Mayores,Understanding,,,,,,,,,,
2026-09-21,Mayores,Application,,,,,,,,,,
2026-09-21,Mayores,Analysis,,,,,,,,,,
2026-09-21,Mayores,Evaluation,,,,,,,,,,
2026-09-21,Mayores,Synthesis,,,,,,,,,,
2026-09-21,Palanas,Knowledge,,,,,,,,,,
2026-09-21,Palanas,Understanding,,,,,,,,,,
2026-09-21,Palanas,Application,,,,,,,,,,
2026-09-21,Palanas,Analysis,,,,,,,,,,
2026-09-21,Palanas,Evaluation,,,,,,,,,,
2026-09-21,Palanas,Synthesis,,,,,,,,,,
2026-09-21,Tomagan,Knowledge,,,,,,,,,,
2026-09-21,Tomagan,Understanding,,,,,,,,,,
2026-09-21,Tomagan,Application,,,,,,,,,,
2026-09-21,Tomagan,Analysis,,,,,,,,,,
2026-09-21,Tomagan,Evaluation,,,,,,,,,,
2026-09-21,Tomagan,Synthesis,,,,,,,,,,
2026-09-24,Abesia,Knowledge,,,,,,,,,,
2026-09-24,Abesia,Understanding,,,,,,,,,,
2026-09-24,Abesia,Application,,,,,,,,,,
2026-09-24,Abesia,Analysis,,,,,,,,,,
2026-09-24,Abesia,Evaluation,,,,,,,,,,
2026-09-24,Abesia,Synthesis,,,,,,,,,,
2026-09-24,Mayores,Knowledge,,,,,,,,,,
2026-09-24,Mayores,Understanding,,,,,,,,,,
2026-09-24,Mayores,Application,,,,,,,,,,
2026-09-24,Mayores,Analysis,,,,,,,,,,
2026-09-24,Mayores,Evaluation,,,,,,,,,,
2026-09-24,Mayores,Synthesis,,,,,,,,,,
2026-09-24,Palanas,Knowledge,,,,,,,,,,
2026-09-24,Palanas,Understanding,,,,,,,,,,
2026-09-24,Palanas,Application,,,,,,,,,,
2026-09-24,Palanas,Analysis,,,,,,,,,,
2026-09-24,Palanas,Evaluation,,,,,,,,,,
2026-09-24,Palanas,Synthesis,,,,,,,,,,
2026-09-24,Tomagan,Knowledge,,,,,,,,,,
2026-09-24,Tomagan,Understanding,,,,,,,,,,
2026-09-24,Tomagan,Application,,,,,,,,,,
2026-09-24,Tomagan,Analysis,,,,,,,,,,
2026-09-24,Tomagan,Evaluation,,,,,,,,,,
2026-09-24,Tomagan,Synthesis,,,,,,,,,,
2026-09-28,Abesia,Knowledge,,,,,,,,,,
2026-09-28,Abesia,Understanding,,,,,,,,,,
2026-09-28,Abesia,Application,,,,,,,,,,
2026-09-28,Abesia,Analysis,,,,,,,,,,
2026-09-28,Abesia,Evaluation,,,,,,,,,,
2026-09-28,Abesia,Synthesis,,,,,,,,,,
2026-09-28,Mayores,Knowledge,,,,,,,,,,
2026-09-28,Mayores,Understanding,,,,,,,,,,
2026-09-28,Mayores,Application,,,,,,,,,,
2026-09-28,Mayores,Analysis,,,,,,,,,,
2026-09-28,Mayores,Evaluation,,,,,,,,,,
2026-09-28,Mayores,Synthesis,,,,,,,,,,
2026-09-28,Palanas,Knowledge,,,,,,,,,,
2026-09-28,Palanas,Understanding,,,,,,,,,,
2026-09-28,Palanas,Application,,,,,,,,,,
2026-09-28,Palanas,Analysis,,,,,,,,,,
2026-09-28,Palanas,Evaluation,,,,,,,,,,
2026-09-28,Palanas,Synthesis,,,,,,,,,,
2026-09-28,Tomagan,Knowledge,,,,,,,,,,
