id|module|bloom|question|choiceA|choiceB|choiceC|choiceD|correct|explanation
m01-15|module01|Apply|A teacher wants to evaluate the intelligence of their student using a test. What branch of intelligence in Sternberg’s Triarchic Theory of intelligence is the teacher applying?|Interpersonal|Experimental|Contextual|Componential|D|1_explenation15
m01-16|module01|Analyze|Distinguish between Animal Intelligence and Human Intelligence|Animal intelligence is only focused on their reasoning and profiting from good experiences, while human intelligence is only about forming patterns|Animal intelligence is a variety of information-processing abilities that enable a being to autonomously pursue survival, while human intelligence is a combination of a human being’s ability to learn, pose problems, and solve problems|Animal intelligence is based on their judgement, common sense, and initiative, while human intelligence only cares for their need for survival|Animals have a lower intelligence level, while humans are more intelligent|B|1_explenation16
m01-17|module01|Evaluate|What reasoning best criticizes the Turing Test and its goal to distinguish between a human and a machine?|The test fails to consider the emotional and creative thinking of humans|Humans were often seen as robots during the experiment|Machine behavior is never able to influence the interrogator into thinking that it is a human|The test was too expensive|A|1_explenation17
m01-18|module01|Synthesis|We say that human traits lie in their capacity to learn, think, problem-solve, and have common sense. If a computer copies these traits during the Turing test, what is the best way the human can persuade the interrogator to think he is a human?|Show their analytical and computational skills|Show their deductive reasoning|Show their ability to follow instructions|Show their creativity in art and common sense|D|1_explenation18
m01-19|module01|Remember|Where does an AI system's knowledge come from?|Human knowledge that converted to machine format and the one that AI generates|From the wep applications online and social media posts|From its built-in emotions|From user's browsing history|A|1_explenation19
m01-20|module01|Understand|Why is intelligence hard to define?|Because only IQ tests can define it, and they're expensive|Because definition changes across time, species, culture, and context|Because intelligence doesn't really exist at all|Because scientists have simply been too lazy to agree on one|B|1_explenation20
m01-21|module01|Apply|How would you use AI, which is designed to solve problems intelligently, to create an essay about emotions and judgement?|Prompt everything to AI.|Let AI come up with the idea, then you revise it.|Brainstorm your idea with AI and let it handle only the technical part, like grammar.|Avoid AI entirely and write the whole essay without any assistance|C|1_explenation21
m01-22|module01|Analyze|If IQ tests mainly predict exam performance but not job performance, what does that tell us about what they actually measure?|They measure job performance|They measure every kind of intelligence equally|They prove IQ and intelligence are exactly the same thing|They measure a narrow, examination type skills, not general intelligence|D|1_explenation22
m01-23|module01|Evaluate|Do you think the Turing Test settles what thinking is and defines real intelligence?|No, because it only captures behavior, not actual understanding.|Yes, because passing the test proves a machine is truly conscious.|No, because computers cannot be tested against humans at all.|Yes, because it is compared directly to a human.|A|1_explenation23
m01-24|module01|Synthesis|"AI moved from a philosophical question of ""can machines think?"" to practical, real-world systems. During the AI winter, AI development slowed down. Based on the synthesis of the topic, what enabled AI's further development?"|By halting all funding until a perfect thinking machine was built.|By building AI that solves useful problems, rather than machines that think exactly like humans.|By proving philosophically that machines can definitely think like humans.|By ignoring computing power improvements and focusing only on theory.|B|1_explenation24
m02-01|module02|Remember|Which of the following is one of the four essential conditions of a well-defined problem|Inevocable control strategy|Personal ownership and commitment|Extension truth table|Automated conflict resolution|B|2_explenation1
m02-02|module02|Understand|"What makes a computer program a true ""knowledge-based system"" rather than a standard software program?"|It runs faster than traditional procedural programs|It guarantees 100% accuracy on every calculation|It produces decisions by reasoning over an explicit collection of represented beliefs|It relies entirely on hardcoded, compiled rules distributed throughout its functions|C|2_explenation2
m02-03|module02|Apply|A developer is creating an expert system to diagnose rare plant diseases from a small list of known conditions by asking users about specific leaf symptoms. Which inference method should be used? | Forward chaining|Backward Chaining|Progression Planning| Exhaustive state-space search |B|2_explenation3
m02-04|module02|Analyze|A company wants to store large customer transaction histories that change continuously and are updated by data-entry staff. Mr. Ortula, the company's consultant, suggests building a full Knowledge-Based System (KBS) for this task. Based on the system's operational requirements, why is Mr. Ortula's proposal an architectural mismatch?|A KBS handles small, expert rules, while a DBMS is built for large, clerk-updated records|A KBS cannot save basic numbers or text|A standard DBMS already performs full automated reasoning on its own|It isn't a mismatch, just trust Mr. Ortula's suggestion|A|2_explenation4
m02-05|module02|Evaluate|An engineer wants to use an irrevocable control strategy where rule firing order does not risk losing the goal. What property must the production system have to justify this choice?|Non-monotonicity|Commutativity|Refraction|Extensionality|B|2_explenation5
m02-06|module02|Synthesis|Andrei needs to diagnose which of four specific blood disorders matches a patient's symptoms. Which setup is best suited for this task?|Forward chaining with a neural network|Backward chaining with a rule-based system|Forward chaining only|Random search with a database table|B|2_explenation6
m02-07|module02|Remember|What are the first 3 steps of Polya's Process?|Understand, Plan, Implement|Identify, Define, Represent|Problem Definition, Problem Analysis, Technique Selection|Understand, Represent, Implement|A|2_explenation7
m02-08|module02|Understand|A system starts with known facts of a case, works forward step by step until it reaches a conclusion. Which inference strategy is this?|Backwards chaining|Forwards chaining|Problem Reduction|Problem Abduction|B|2_explenation8
m02-09|module02|Apply|A cybersecurity analyst discovers that customer data was leaked. Starting from the exact record where the leak was detected, the analyst traces the system logs step by step to reconstruct how the attacker originally gained access. Which problem-solving technique is the analyst applying?|Forward chaining|Working backward|Divide and conquer|Exhaustive Enumeration|B|2_explenation9
m02-10|module02|Analyze|"""Solving a subproblem"" and ""solving a subgoal"" are both ways of breaking a problem into parts, but they differ in a structural way. Which best captures that difference?"|Subgoals can be solved in any order, while subproblems must follow a strict sequence|Subproblems are solved independently of each other (ex. finding odd factors, then even factors) while subgoals are dependencies where the main goal cannot be reached until each subgoal is solved first|Subproblems and subgoals are interchangeable terms for the same technique|Subgoals only apply to mathematical problems, subproblems only apply to logic puzzles|B|2_explenation10
m02-11|module02|Evaluate|The state space method has listed deficiencies (cannot display all states, resource-limited, time-consuming, doesn't learn from mistakes). Which of these does problem reduction (AND-OR graphs) fail to fix?|The massive and monolithic nature of the state space|The inability to display all states for a large problem|The system's tendency not to learn from past mistakes and repeat them|Time-consuming exhaustive representation|C|2_explenation11
m02-12|module02|Synthesis|"Modeling ""pass this semseter"" as an AND-OR graph, which combination correctly represents it?"|A single AND branch only where every requirements must be met with no alternative paths at all|All requirements combined under AND (pass every required course), with OR used only where any one of several interchangeable options satisfies a single requirement (e.g. General Elective, Qualfied Elective)|Only OR branches|AND-OR graphs cannot represent a goal like this|B|2_explenation12
m02-13|module02|Remember|It illustrates the human brain's ability to process information and the need for AI to fall within its boundaries.|Human limit|Human door|Human window|Human interval|C|2_explenation13
m02-14|module02|Understand|Which of the following best summarizes the concept of proving by deduction?|Reaching a conclusion from some facts that logically flow from one another|Considering every possibility in a search space|Describing a problem in terms of itself|Breaking up a problem and solving it into smaller parts|A|2_explenation14
m02-15|module02|Apply|Which of the following situations is a good example of a heuristic being applied?|A poker player who counts cards to know the remaining cards in the deck|A statistician calculating the exact value of a population’s parameter using various formulas|A delivery driver using the fastest delivery route to a customer|A student guessing a country by guessing its continent despite not knowing exactly where it is|D|2_explenation15
m02-16|module02|Analyze|How does the concept of a knowledge base play its role in the stages of an Expert System’s life cycle?|It collects the input of the user and communicates to the system how to find the answer|It evaluates the reasoning process of the system and  modifies it when errors occur|It creates the backtrack on how an answer was derived|It stores the facts and heuristics of a system that are used to derive conclusions|D|2_explenation16
m02-17|module02|Evaluate|Based on the concept of Expert Systems, how can we say that these systems are sometimes limited in their capacity to give answers?|They fail outside of their domain of expertise|It requires too much computing power to create in-depth answers|The error rates make the answers untrustworthy|Answers from expert systems are not consistent if asked the same question twice|A|2_explenation17
m02-18|module02|Synthesis|A Knowledge-Based System needs to explain why it made a decision. Which feature should be added?|Larger database|Explanation facility|Inference engine|More input devices|B|2_explenation18
m02-19|module02|Remember|What is the difference between procedural knowledge and declarative knowledge?|Declarative is always faster to execute; procedural is always easier to modify.|Procedural supports inference over the general statements while declarative often expressed as procedures over rules.|Declarative states facts and relationships; procedural encodes how to perform tasks.|Declarative encodes how to perform tasks; procedural states facts and relationships.|C|2_explenation19
m02-20|module02|Understand|Why do we need to represent knowledge explicitly in a knowledge-based system?|It makes intelligent behavior easier to inspect, extend, reuse, and explain|Because a problem can only be solved if all its knowledge is made explicit.|Because it's easier for programmers to write than hard-coded procedures.|Because explicit knowledge always makes the system run faster at runtime.|A|2_explenation20
m02-21|module02|Apply|A production system keeps firing the same rule over and over, causing an infinite loop. Which conflict resolution strategy should be applied to stop this?|Refraction|Order|Specificity|Recency|A|2_explenation21
m02-22|module02|Analyze|A student has a huge assignment and decides to finish it first by completing the research, then the outline, and finally the writing. What problem-solving technique is the student using?|Exhaustive enumeration|Divide and conquer|Deduction|Contradiction|B|2_explenation22
m02-23|module02|Evaluate|A solution has been tested several times and consistently reaches the goal. However, a simpler solution is available that reaches the same goal. Which conclusion is most reasonable?|The original solution must be used because it was tested first.|Both solutions must have the same efficiency.|The original solution should be rejected as incorrect.|The simpler solution should be considered because it may be more efficient.|D|2_explenation23
m02-24|module02|Synthesis|Which statement best combines how knowledge, representation, and reasoning work together in a knowledge-based system?|Knowledge is stored as symbols, but reasoning is only used to store more facts, not to derive new ones.|Reasoning replaces the need for any stored knowledge at all.|Symbols stand for what the system believes, and reasoning manipulates those symbols to produce new beliefs the system never had to be told directly.|Representation and reasoning are separate systems that never interact.|C|2_explenation24
